num_train,method,split,nlpd,variogram_score
300,pro_gp_gibbs,10,1.0195755330101455,0.7197995560428162
300,pro_gp_gibbs,11,0.9699639979525948,0.545232752450801
300,pro_gp_gibbs,12,0.8425095720149406,0.5227171630502735
300,pro_gp_gibbs,13,0.7975404036905765,0.3439034147352735
300,pro_gp_gibbs,14,0.8649273213327766,0.4807580407608634
300,pro_gp_gibbs,15,1.0249858806074246,0.8101961401520321
300,pro_gp_gibbs,16,1.0157076684651003,1.0821753994474481
300,pro_gp_gibbs,17,1.2182044336482505,0.5085336871832657
300,pro_gp_gibbs,18,0.8500200421704994,0.6564116639274447
300,pro_gp_gibbs,19,0.9508437506147652,0.4920879562768717
300,pro_gp_gibbs,2,0.5373865711401389,0.540861973161399
300,pro_gp_gibbs,20,0.8079468380025411,0.6694007531045667
300,pro_gp_gibbs,3,0.6786331371313173,0.3940523843284966
300,pro_gp_gibbs,4,0.9120976217690648,0.5149116769250961
300,pro_gp_gibbs,5,0.8600493871617421,0.5746602995488139
300,pro_gp_gibbs,6,1.0793426556272838,0.9399671047138153
300,pro_gp_gibbs,7,1.1884429733146784,0.9737743621244247
300,pro_gp_gibbs,8,0.799027012552943,0.7855972687675471
300,pro_gp_gibbs,9,1.0095194954179558,0.6480955098140526
300,pro_gp_gibbs_50,1,0.5872686280419321,0.2986985756833005
300,pro_gp_gibbs_50,10,0.9952796368582166,0.7005328927734519
300,pro_gp_gibbs_50,11,0.9989757362765426,0.5471904767899793
300,pro_gp_gibbs_50,12,0.7806091955760276,0.49529452827151405
300,pro_gp_gibbs_50,13,0.7678785457496587,0.35952336195560924
300,pro_gp_gibbs_50,14,0.8330006507530054,0.4767160471406621
300,pro_gp_gibbs_50,15,0.931698438786483,0.7573962873419654
300,pro_gp_gibbs_50,16,1.0148170732392274,1.070675618598556
300,pro_gp_gibbs_50,17,1.2745601010776777,0.5156714231139865
300,pro_gp_gibbs_50,18,0.851653187753584,0.6889682626044976
300,pro_gp_gibbs_50,19,0.9677500299895484,0.4909055300019176
300,pro_gp_gibbs_50,2,0.5210268880895038,0.5663505686161084
300,pro_gp_gibbs_50,20,0.8236431076035623,0.6590201069025912
300,pro_gp_gibbs_50,3,0.6632598578585652,0.40054786132280307
300,pro_gp_gibbs_50,4,0.9263442483550713,0.5255175744945536
300,pro_gp_gibbs_50,5,0.8204148196812192,0.5718765717938203
300,pro_gp_gibbs_50,6,1.0619964939303645,0.917739514919356
300,pro_gp_gibbs_50,7,1.099276686124515,0.9740914354992273
300,pro_gp_gibbs_50,8,0.6663454263331441,0.7495756982738147
300,pro_gp_gibbs_50,9,0.9482899173175829,0.644134393313438
300,pro_gp_gibbs_adapt,1,0.5833468900014047,0.30126746418993766
300,pro_gp_gibbs_adapt,10,0.9762079042065126,0.6971218721680325
300,pro_gp_gibbs_adapt,11,0.9586515247897174,0.5624749005470885
300,pro_gp_gibbs_adapt,12,0.8102987332106083,0.5052848695790217
300,pro_gp_gibbs_adapt,13,0.7823934091027076,0.3462050465835306
300,pro_gp_gibbs_adapt,14,0.7229702032605612,0.4789167699388684
300,pro_gp_gibbs_adapt,15,1.0065282270386586,0.828688160295999
300,pro_gp_gibbs_adapt,16,1.0056960938018864,1.0666338110360676
300,pro_gp_gibbs_adapt,17,1.2141711754654878,0.5231470395479108
300,pro_gp_gibbs_adapt,18,0.8376072579669367,0.6868624514197347
300,pro_gp_gibbs_adapt,19,0.9369254010835293,0.473284692518808
300,pro_gp_gibbs_adapt,2,0.4999476271701978,0.5291322602725312
300,pro_gp_gibbs_adapt,20,0.8220898583622922,0.6605762925928236
300,pro_gp_gibbs_adapt,3,0.6790871050172654,0.393941683852979
300,pro_gp_gibbs_adapt,4,0.9779281860850203,0.5574000820025851
300,pro_gp_gibbs_adapt,5,0.8639016391001126,0.5940208395568556
300,pro_gp_gibbs_adapt,6,1.0567575021813398,0.9106230684345248
300,pro_gp_gibbs_adapt,7,1.1786455330096044,0.9990424918065374
300,pro_gp_gibbs_adapt,8,0.6857738342209605,0.7367659849139109
300,pro_gp_gibbs_adapt,9,0.9451690771251607,0.627371591028446
